# 2023-01-10T14:05:24+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.265
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.188
# FWHM Valid: TRUE
# FIT MSE: 3.407087568636E-7
# Amplitude: 0.094469
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.742264491605E+0	4.938529240145E-3	5.457068591844E-3
-2.741948299839E+0	5.402835408022E-3	5.457068591844E-3
-2.741701196170E+0	4.685271330394E-3	5.457068591844E-3
-2.741388512746E+0	4.811900285270E-3	5.457068591844E-3
-2.741083988880E+0	5.782722272649E-3	5.457068591844E-3
-2.740817408295E+0	5.445045059647E-3	5.457068591844E-3
-2.740482432555E+0	5.782722272649E-3	5.457068591844E-3
-2.740211988895E+0	4.980738891770E-3	5.457068591844E-3
-2.739899156386E+0	5.149577498271E-3	5.457068591844E-3
-2.739574659119E+0	4.811900285270E-3	5.457068591844E-3
-2.739305130922E+0	4.727480982019E-3	5.457068591844E-3
-2.738976779308E+0	5.867141575899E-3	5.457068591844E-3
-2.738665762711E+0	4.685271330394E-3	5.457068591844E-3
-2.738362315613E+0	4.178755510892E-3	5.457068591844E-3
-2.738016296363E+0	5.529464362898E-3	5.457068591844E-3
-2.737725666323E+0	5.529464362898E-3	5.457068591844E-3
-2.737405082874E+0	5.529464362898E-3	5.457068591844E-3
-2.737063828545E+0	5.191787149896E-3	5.457068591844E-3
-2.736768077455E+0	5.191787149896E-3	5.457068591844E-3
-2.736441427931E+0	5.065158195021E-3	5.457068591844E-3
-2.736122434612E+0	4.600852027144E-3	5.457068591844E-3
-2.735799168902E+0	5.402835408022E-3	5.457068591844E-3
-2.735461995050E+0	5.529464362898E-3	5.457068591844E-3
-2.735171274116E+0	4.600852027144E-3	5.457068591844E-3
