# 2023-01-06T12:17:33+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.262
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.190
# FWHM Valid: FALSE (No Signal)
# FIT MSE: 3.185014370144E-7
# Amplitude: 0.014511
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.665339312059E+0	4.220965162517E-3	4.390907299348E-3
-2.664820172854E+0	5.107367846646E-3	4.390907299348E-3
-2.664259026532E+0	4.854109936895E-3	4.390907299348E-3
-2.663713050401E+0	3.967707252766E-3	4.390907299348E-3
-2.663165077848E+0	4.643061678769E-3	4.390907299348E-3
-2.662612402290E+0	5.107367846646E-3	4.390907299348E-3
-2.662098688359E+0	4.980738891770E-3	4.390907299348E-3
-2.661516973225E+0	4.558642375519E-3	4.390907299348E-3
-2.660949772467E+0	4.474223072268E-3	4.390907299348E-3
-2.660439930805E+0	5.233996801521E-3	4.390907299348E-3
-2.659850218699E+0	5.065158195021E-3	4.390907299348E-3
-2.659287836980E+0	5.867141575899E-3	4.390907299348E-3
-2.658733685230E+0	4.558642375519E-3	4.390907299348E-3
-2.658149507332E+0	4.052126556017E-3	4.390907299348E-3
-2.657632522129E+0	4.263174814142E-3	4.390907299348E-3
-2.657052618368E+0	4.769690633645E-3	4.390907299348E-3
-2.656464111982E+0	4.811900285270E-3	4.390907299348E-3
-2.655935658474E+0	4.178755510892E-3	4.390907299348E-3
-2.655358717921E+0	4.600852027144E-3	4.390907299348E-3
-2.654780968627E+0	4.769690633645E-3	4.390907299348E-3
-2.654217826816E+0	4.769690633645E-3	4.390907299348E-3
-2.653631514701E+0	3.925497601141E-3	4.390907299348E-3
-2.653086814351E+0	3.123514220263E-3	4.390907299348E-3
